tahun,topic_id,n_docs,n_total,proporsi,label_topik
2017,39,9,1320,0.006818181818181818,Topik_39
2017,40,10,1320,0.007575757575757576,Topik_40
2017,41,20,1320,0.015151515151515152,Topik_41
2017,42,15,1320,0.011363636363636364,Topik_42
2017,43,10,1320,0.007575757575757576,Topik_43
2017,44,7,1320,0.005303030303030303,Topik_44
2017,45,10,1320,0.007575757575757576,Topik_45
2017,46,19,1320,0.014393939393939395,Topik_46
2017,47,9,1320,0.006818181818181818,Topik_47
2017,48,16,1320,0.012121212121212121,Topik_48
2017,49,11,1320,0.008333333333333333,Topik_49
2017,50,5,1320,0.003787878787878788,Topik_50
2017,51,5,1320,0.003787878787878788,Topik_51
2017,52,8,1320,0.006060606060606061,Topik_52
2017,53,11,1320,0.008333333333333333,Topik_53
2017,54,5,1320,0.003787878787878788,Topik_54
2017,55,4,1320,0.0030303030303030303,Topik_55
2017,56,3,1320,0.0022727272727272726,Topik_56
2017,57,8,1320,0.006060606060606061,Topik_57
2017,58,8,1320,0.006060606060606061,Topik_58
2017,59,4,1320,0.0030303030303030303,Topik_59
2017,60,9,1320,0.006818181818181818,Topik_60
2017,61,5,1320,0.003787878787878788,Topik_61
2017,62,7,1320,0.005303030303030303,Topik_62
2017,63,9,1320,0.006818181818181818,Topik_63
2017,64,8,1320,0.006060606060606061,Topik_64
2017,65,12,1320,0.00909090909090909,Topik_65
2017,66,5,1320,0.003787878787878788,Topik_66
2017,67,16,1320,0.012121212121212121,Topik_67
2017,68,7,1320,0.005303030303030303,Topik_68
2017,69,3,1320,0.0022727272727272726,Topik_69
2017,70,13,1320,0.009848484848484848,Topik_70
2017,71,3,1320,0.0022727272727272726,Topik_71
2017,72,3,1320,0.0022727272727272726,Topik_72
2017,73,6,1320,0.004545454545454545,Topik_73
2017,74,3,1320,0.0022727272727272726,Topik_74
2017,75,4,1320,0.0030303030303030303,Topik_75
2017,76,8,1320,0.006060606060606061,Topik_76
2017,77,9,1320,0.006818181818181818,Topik_77
2017,78,7,1320,0.005303030303030303,Topik_78
2017,79,5,1320,0.003787878787878788,Topik_79
2017,80,11,1320,0.008333333333333333,Topik_80
2017,81,4,1320,0.0030303030303030303,Topik_81
2017,82,7,1320,0.005303030303030303,Topik_82
2017,83,2,1320,0.0015151515151515152,Topik_83
2017,85,11,1320,0.008333333333333333,Topik_85
2017,86,2,1320,0.0015151515151515152,Topik_86
2017,87,4,1320,0.0030303030303030303,Topik_87
2017,88,8,1320,0.006060606060606061,Topik_88
2017,89,2,1320,0.0015151515151515152,Topik_89
2017,90,6,1320,0.004545454545454545,Topik_90
2017,91,2,1320,0.0015151515151515152,Topik_91
2017,92,2,1320,0.0015151515151515152,Topik_92
2017,93,7,1320,0.005303030303030303,Topik_93
2017,94,3,1320,0.0022727272727272726,Topik_94
2017,95,1,1320,0.0007575757575757576,Topik_95
2017,96,5,1320,0.003787878787878788,Topik_96
2017,97,2,1320,0.0015151515151515152,Topik_97
2017,98,9,1320,0.006818181818181818,Topik_98
2017,99,12,1320,0.00909090909090909,Topik_99
2017,100,9,1320,0.006818181818181818,Topik_100
2017,101,2,1320,0.0015151515151515152,Topik_101
